taxa	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK
20SGH003551	4.6	2.26666667	100	161	69
20SGH003620	14.9	1.13333333	86.6666667	102	69
20SGH001101	7.1	1.53333333	100	126	69
20SGH001974	40.4	1.06666667	86.6666667	119	69
20SGH000031	5.6	2.23076923	100	110	69
20SGH001622	36.1	1.93333333	93.3333333	74	65
20SGH002013	54.8	2.08333333	100	107	61
20SGH000811	NA	NA	NA	75	65
20SGH000057	11.2	1.8	100	124	69
20SGH000060	NA	NA	NA	NA	NA
20SGH002563	118.5	1.66666667	100	96	69
20SGH001959	8.5	2.13333333	100	106	69
20SGH003178	NA	NA	NA	NA	NA
20SGH001965	43.6	NA	NA	109	65
20SGH000860	2.4	2.33333333	100	135	65
20SGH001173	12.6	1.26666667	86.6666667	94	69
20SGH002190	8.2	1.53333333	93.3333333	99	65
20SGH003751	23.7	1.91666667	100	101	65
20SGH002537	3.1	2.08333333	91.6666667	103	69
20SGH003360	NA	NA	NA	NA	NA
20SGH000267	12.3	2.66666667	100	110	65
20SGH002698	72.9	1.8	100	122	69
20SGH002304	15.9	1.75	100	92	69
20SGH001856	21.6	2.4	100	111	65
20SGH002180	33.3	2.2	100	126	69
20SGH002020	7.5	1.72727273	100	125	69
20SGH002461	3.6	1.4	100	119	69
20SGH002540	2	2.7	100	114	69
20SGH003501	125.4	1.71428571	92.8571429	116	65
20SGH002036	12.2	1.93333333	100	127	65
20SGH002571	4.4	1.2	93.3333333	130	69
20SGH000382	11.9	1.6	93.3333333	92	69
20SGH001707	NA	1.13333333	73.3333333	99	65
20SGH000535	11.6	2	100	112	69
20SGH001774	5	NA	NA	74	69
20SGH000744	1.9	2.26666667	100	123	69
20SGH000780	18	2.33333333	100	93	65
20SGH002776	NA	NA	NA	NA	NA
20SGH001831	29	1.33333333	93.3333333	97	69
20SGH000855	5.6	1.71428571	100	115	69
20SGH003829	25.3	1.06666667	73.3333333	110	69
20SGH003862	3.1	1.73333333	100	126	65
20SGH002791	9.8	2.13333333	100	103	69
20SGH002506	6.1	1.72727273	100	132	65
20SGH002941	12	1.4	100	92	65
20SGH002314	NA	1.46666667	93.3333333	109	69
20SGH000349	73	1.86666667	100	135	69
20SGH001541	5.1	1.33333333	100	98	65
20SGH002701	2.6	1.66666667	100	125	69
20SGH001235	4.4	0.8	73.3333333	98	69
20SGH002548	4.2	2.45454545	100	100	69
20SGH003748	7.3	NA	NA	86	65
20SGH000972	4.7	2.13333333	100	123	69
20SGH002709	66.4	1.9	100	104	69
20SGH003027	NA	NA	NA	NA	NA
