taxa	FHBDON	FHBDISIND	FHBSPKINC	PTHT	ZDK	GLBLSEV	BLSSEV	HSATIVLSEV
20SGH001871	1.2	NA	NA	113	69	0	5	2
20SGH001215	2.9	1.15	80	101	59	0	10	0
20SGH002496	2.9	0.81818182	72.7272727	119	61	0	0	5
20SGH000869	0.8	0.86666667	46.6666667	114	69	0	10	0
20SGH000740	1.4	1.05	80	120	65	0	20	0
20SGH003784	0.1	NA	NA	101	65	0	5	10
20SGH003816	0.8	0.9	60	97	55	0	5	0
20SGH002353	19.3	0.27777778	27.7777778	105	57	0	2	30
20SGH003279	0.3	0.625	56.25	109	69	0	2	20
20SGH001627	0.4	0.2	20	121	61	NA	2	10
20SGH002971	1.8	1.21428571	85.7142857	124	59	0	5	40
20SGH000896	0.2	1.55	70	120	61	0	5	2
20SGH001010	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002260	8.6	1.3	90	112	61	0	20	40
20SGH000371	0.9	0.7	55	125	59	0	20	30
20SGH002438	NA	NA	NA	NA	NA	NA	NA	NA
20SGH000693	0.9	1.6	86.6666667	111	69	0	10	10
20SGH001102	3.4	1.75	80	105	65	0	10	0
20SGH001957	6	0.92857143	64.2857143	124	61	0	20	40
20SGH002913	0.2	0.84615385	61.5384615	119	69	0	5	10
20SGH000023	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002871	NA	NA	NA	NA	NA	NA	NA	NA
20SGH002790	4.3	NA	NA	108	69	0	10	30
20SGH001559	3	1.36842105	94.7368421	123	61	0	5	2
20SGH003234	2.5	2.05	100	130	65	0	10	0
20SGH000676	0.8	2.3	100	129	65	0	0	10
20SGH002000	3.7	1.3	85	115	59	0	5	20
20SGH002854	4.7	2.1	100	120	69	0	5	10
20SGH002233	2.1	1.55	80	134	59	0	30	30
20SGH001436	2.5	1.57894737	78.9473684	140	69	0	5	5
20SGH001533	0.6	0.9	60	121	59	0	2	0
20SGH000561	0.9	1.45	65	113	69	0	2	0
20SGH003030	0.4	1.625	93.75	122	69	0	20	2
20SGH000792	3	1.86666667	86.6666667	117	65	0	40	5
20SGH002176	1.9	NA	NA	93	65	0	5	0
20SGH002522	2	1.4	85	117	61	0	5	0
20SGH001763	NA	NA	NA	NA	NA	NA	NA	NA
20SGH001212	1	0.94117647	47.0588235	121	69	2	2	5
20SGH000846	2.7	1.27777778	61.1111111	109	69	0	40	0
20SGH003090	0.5	1.33333333	66.6666667	134	69	0	20	20
20SGH001031	1.1	2.15	95	118	65	0	10	20
20SGH000454	0.6	1.28571429	71.4285714	138	69	0	20	5
20SGH001473	2.7	NA	NA	NA	69	NA	NA	NA
20SGH000245	1.2	0.75	50	137	59	NA	NA	NA
20SGH000018	0.8	2.18181818	90.9090909	103	69	0	5	0
20SGH002124	1.9	2.21052632	78.9473684	124	59	0	5	5
20SGH000545	2.2	1.125	56.25	101	61	0	2	2
20SGH002199	19	2.17647059	94.1176471	127	59	0	10	30
20SGH001555	2.8	2.35	95	105	69	0	30	0
20SGH002655	0.8	1.8	90	112	69	0	20	0
20SGH003307	2.9	1.16666667	66.6666667	89	57	0	0	40
20SGH000307	4.8	2.4	95	116	65	0	5	40
20SGH001302	0.5	1.42857143	64.2857143	119	69	0	20	10
20SGH002670	0.1	2.55	100	118	69	0	10	5
20SGH002055	5.2	2.3	95	116	59	0	40	0
20SGH003613	0.6	2.25	95	104	65	0	2	0
20SGH000823	0.3	1.88235294	94.1176471	116	59	0	30	40
20SGH003705	13.1	0.6	45	110	57	0	5	0
20SGH003470	2.1	1.29411765	70.5882353	116	57	2	20	10
20SGH000781	5.1	1.2	75	86	57	0	20	0
20SGH003492	2.6	2	100	118	59	5	10	5
20SGH001362	1.9	2.07692308	92.3076923	100	59	0	0	20
20SGH002637	0.2	2.8	100	110	71	0	5	0
20SGH000190	0.8	1.3	75	116	69	0	0	30
20SGH002413	1.3	1.76470588	88.2352941	89	59	0	20	0
20SGH001708	1	0.92857143	57.1428571	106	57	0	30	5
20SGH003338	3.1	2.1	90	130	65	0	10	30
20SGH000546	5.6	2.38888889	94.4444444	113	69	NA	30	0
20SGH003618	2	1.23529412	70.5882353	113	57	0	10	20
20SGH001394	14	2.36842105	84.2105263	111	61	0	5	0
