phenotype_year	plant_id	Cycle	Site	Time	serpentine	FHBDON	FHBZEA
2022	20SGH001559	C10	SAL	5	161	0	0.1
2022	20SGH003234	C10	SAL	5	162	0	0
2022	20SGH000676	C10	SAL	5	163	0.4	0
2022	20SGH002000	C10	SAL	5	165	0	0
2022	20SGH002854	C10	SAL	5	166	0.2	0.1
2022	20SGH002233	C10	SAL	5	167	0.6	0.1
2022	20SGH001436	C10	SAL	5	168	0	0
2022	20SGH001533	C10	SAL	5	169	0	0
2022	20SGH000561	C10	SAL	5	170	0	0
2022	20SGH003030	C10	SAL	5	171	0	0
2022	20SGH000792	C10	SAL	5	172	0.4	0.1
2022	20SGH002176	C10	SAL	5	173	0	0
2022	20SGH002522	C10	SAL	5	174	0.1	0.3
2022	20SGH001212	C10	SAL	5	176	0	0
2022	20SGH000846	C10	SAL	5	177	0	0
2022	20SGH003090	C10	SAL	5	178	0	0
2022	19SGH000932	C10	SAL	5	179	0	0
2022	20SGH001031	C10	SAL	5	180	0	0
2022	20SGH000454	C10	SAL	5	181	0	0
2022	20SGH001473	C10	SAL	5	182	0.3	0
2022	20SGH000245	C10	SAL	5	184	0.3	0
2022	20SGH000018	C10	SAL	5	185	0	0
2022	20SGH002124	C10	SAL	5	186	1.3	0
2022	20SGH000545	C10	SAL	5	188	0.5	0
2022	20SGH002199	C10	SAL	5	189	2.7	0
2022	19SGH003370	C10	SAL	5	190	0.8	0
2022	20SGH001555	C10	SAL	5	191	0	0.1
2022	20SGH002655	C10	SAL	5	192	0	0
2022	20SGH003307	C10	SAL	5	193	0	0.1
2022	20SGH000307	C10	SAL	5	194	0.5	0.1
2022	20SGH001302	C10	SAL	5	196	0	0
2022	20SGH002670	C10	SAL	5	197	0	0
2022	20SGH002055	C10	SAL	5	198	0	0.1
2022	20SGH003613	C10	SAL	5	199	0.2	0.2
2022	20SGH000823	C10	SAL	5	200	0	0
2022	20SGH003705	C10	SAL	5	201	0.1	0
2022	20SGH003470	C10	SAL	5	202	0.1	0.1
2022	20SGH000781	C10	SAL	5	203	0	0
2022	20SGH003492	C10	SAL	5	204	0.1	0
2022	19SGH001222	C10	SAL	5	205	0	0
2022	20SGH001362	C10	SAL	5	206	0.2	0.1
2022	20SGH002637	C10	SAL	5	207	0.2	0
2022	20SGH000190	C10	SAL	5	208	0	0
2022	20SGH002413	C10	SAL	5	209	0	0
2022	20SGH001708	C10	SAL	5	212	0.3	0.1
2022	20SGH003338	C10	SAL	5	213	0.2	0.1
2022	20SGH000546	C10	SAL	5	214	0.2	0.1
2022	20SGH003618	C10	SAL	5	215	0	0
2022	20SGH001394	C10	SAL	5	216	2.3	0
2022	20SGH001898	C10	SAL	5	217	0.1	0.2
2022	20SGH003717	C10	SAL	5	220	0.2	0.1
