"","EntityID","CPGID","PlantID","source_id","germplasm_id","experiment_id","PlotID","Selection","Entry","planting_date","StartingCorner","Row","Range","easting","northing","altitude","rep","block","notes","DON","ZEA"
"27","20FHB000027",2027,"409","20SGH000409","C10_000409","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_27_CPG2027_409","experimental","C10","2020-10-16","SW",1,27,0,0,0,0,0,NA,0,0
"28","20FHB000028",2028,"Roblin",NA,"Roblin","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_28_CPG2028_Roblin","susceptible check","spring wheat","2020-10-16","SW",1,28,0,0,0,0,0,"sw_check",NA,NA
"29","20FHB000029",2029,"1704","20SGH001704","C10_001704","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_29_CPG2029_1704","experimental","C10","2020-10-16","SW",1,29,0,0,0,0,0,NA,0.2,0
"30","20FHB000030",2030,"2837","20SGH002837","C10_002837","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_30_CPG2030_2837","experimental","C10","2020-10-16","SW",1,30,0,0,0,0,0,NA,0,0
"31","20FHB000031",2031,"2859","20SGH002859","C10_002859","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_31_CPG2031_2859","experimental","C10","2020-10-16","SW",1,32,0,0,0,0,0,NA,0,0
"32","20FHB000032",2032,"3170","20SGH003170","C10_003170","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_32_CPG2032_3170","experimental","C10","2020-10-16","SW",2,32,0,0,0,0,0,NA,NA,NA
"33","20FHB000033",2033,"C9-3816","19SGH003816","C9_003816","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_33_CPG2033_C9-3816","top33 S FHB","C9 replicate","2020-10-16","SW",2,30,0,0,0,0,0,"C9 replicate",NA,NA
"34","20FHB000034",2034,"C9-4136","19SGH004136","C9_004136","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_34_CPG2034_C9-4136","top10 R FHB","C9 replicate","2020-10-16","SW",2,29,0,0,0,0,0,"C9 replicate",NA,NA
"35","20FHB000035",2035,"2632","20SGH002632","C10_002632","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_35_CPG2035_2632","experimental","C10","2020-10-16","SW",2,28,0,0,0,0,0,NA,0.8,0
"36","20FHB000036",2036,"480","20SGH000480","C10_000480","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_36_CPG2036_480","experimental","C10","2020-10-16","SW",2,27,0,0,0,0,0,NA,0.3,0
"37","20FHB000037",2037,"Overley",NA,"Overley","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_37_CPG2037_Overley","susceptible check","winter wheat","2020-10-16","SW",2,26,0,0,0,0,0,"ww_check",NA,NA
"38","20FHB000038",2038,"3787","20SGH003787","C10_003787","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_38_CPG2038_3787","experimental","C10","2020-10-16","SW",2,25,0,0,0,0,0,NA,0,0.2
"39","20FHB000039",2039,"1953","20SGH001953","C10_001953","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_39_CPG2039_1953","experimental","C10","2020-10-16","SW",2,24,0,0,0,0,0,NA,NA,NA
"40","20FHB000040",2040,"698","20SGH000698","C10_000698","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_40_CPG2040_698","experimental","C10","2020-10-16","SW",2,23,0,0,0,0,0,NA,0,0
"41","20FHB000041",2041,"771","20SGH000771","C10_000771","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_41_CPG2041_771","experimental","C10","2020-10-16","SW",2,22,0,0,0,0,0,NA,0,0
"42","20FHB000042",2042,"1616","20SGH001616","C10_001616","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_42_CPG2042_1616","experimental","C10","2020-10-16","SW",2,21,0,0,0,0,0,NA,NA,NA
"43","20FHB000043",2043,"228","20SGH000228","C10_000228","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_43_CPG2043_228","experimental","C10","2020-10-16","SW",2,20,0,0,0,0,0,NA,0,0
"44","20FHB000044",2044,"C9-3816","19SGH003816","C9_003816","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_44_CPG2044_C9-3816","top33 S FHB","C9 replicate","2020-10-16","SW",2,19,0,0,0,0,0,"C9 replicate",0,0
"45","20FHB000045",2045,"1992","20SGH001992","C10_001992","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_45_CPG2045_1992","experimental","C10","2020-10-16","SW",2,18,0,0,0,0,0,NA,0,0
"46","20FHB000046",2046,"918","20SGH000918","C10_000918","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_46_CPG2046_918","experimental","C10","2020-10-16","SW",2,17,0,0,0,0,0,NA,0,0
"47","20FHB000047",2047,"3380","20SGH003380","C10_003380","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_47_CPG2047_3380","experimental","C10","2020-10-16","SW",2,16,0,0,0,0,0,NA,0,0.2
"48","20FHB000048",2048,"3276","20SGH003276","C10_003276","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_48_CPG2048_3276","experimental","C10","2020-10-16","SW",2,15,0,0,0,0,0,NA,0,0
"49","20FHB000049",2049,"1579","20SGH001579","C10_001579","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_49_CPG2049_1579","experimental","C10","2020-10-16","SW",2,14,0,0,0,0,0,NA,NA,NA
"50","20FHB000050",2050,"1610","20SGH001610","C10_001610","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_50_CPG2050_1610","experimental","C10","2020-10-16","SW",2,13,0,0,0,0,0,NA,0,0
"51","20FHB000051",2051,"2835","20SGH002835","C10_002835","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_51_CPG2051_2835","experimental","C10","2020-10-16","SW",2,12,0,0,0,0,0,NA,0.1,0
"52","20FHB000052",2052,"1348","20SGH001348","C10_001348","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_52_CPG2052_1348","experimental","C10","2020-10-16","SW",2,11,0,0,0,0,0,NA,0,0
"53","20FHB000053",2053,"1935","20SGH001935","C10_001935","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_53_CPG2053_1935","experimental","C10","2020-10-16","SW",2,10,0,0,0,0,0,NA,0.1,0
"54","20FHB000054",2054,"3418","20SGH003418","C10_003418","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_54_CPG2054_3418","experimental","C10","2020-10-16","SW",2,9,0,0,0,0,0,NA,NA,NA
"55","20FHB000055",2055,"C9-1194","19SGH001194","C9_001194","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_55_CPG2055_C9-1194","top10 S FHB","C9 replicate","2020-10-16","SW",2,8,0,0,0,0,0,"C9 replicate",0.2,0.1
"56","20FHB000056",2056,"1573","20SGH001573","C10_001573","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_56_CPG2056_1573","experimental","C10","2020-10-16","SW",2,7,0,0,0,0,0,NA,0,0.1
"57","20FHB000057",2057,"380","20SGH000380","C10_000380","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_57_CPG2057_380","experimental","C10","2020-10-16","SW",2,6,0,0,0,0,0,NA,0,0
"58","20FHB000058",2058,"2099","20SGH002099","C10_002099","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_58_CPG2058_2099","experimental","C10","2020-10-16","SW",2,5,0,0,0,0,0,NA,0,0
"59","20FHB000059",2059,"Roblin",NA,"Roblin","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_59_CPG2059_Roblin","susceptible check","spring wheat","2020-10-16","SW",2,4,0,0,0,0,0,"sw_check",NA,NA
"60","20FHB000060",2060,"3835","20SGH003835","C10_003835","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_60_CPG2060_3835","experimental","C10","2020-10-16","SW",2,3,0,0,0,0,0,NA,0,0
"61","20FHB000061",2061,"3060","20SGH003060","C10_003060","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_61_CPG2061_3060","experimental","C10","2020-10-16","SW",2,2,0,0,0,0,0,NA,0,0
"62","20FHB000062",2062,"1274","20SGH001274","C10_001274","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_62_CPG2062_1274","experimental","C10","2020-10-16","SW",2,1,0,0,0,0,0,NA,0,0
"63","20FHB000063",2063,"2733","20SGH002733","C10_002733","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_63_CPG2063_2733","experimental","C10","2020-10-16","SW",3,1,0,0,0,0,0,NA,0,0
"64","20FHB000064",2064,"1939","20SGH001939","C10_001939","20_SAL_FusariumCycle10Training","F2021_Salina_FHB_Iwg_64_CPG2064_1939","experimental","C10","2020-10-16","SW",3,2,0,0,0,0,0,NA,NA,NA
